@timestamp,@logStream,ExecutionTime
2026-08-16 10:15:24.216,ecs/fargate-etl-container/9004dd9d906344fa996a05e08619478d,19.1613
2026-08-16 10:15:16.721,ecs/fargate-etl-container/f15453af79154016bbd1631e4057f2cb,18.7824
2026-08-16 10:15:16.576,ecs/fargate-etl-container/c5bcbc7f1c374668a38efee8d6712152,18.8321
2026-08-16 10:15:12.295,ecs/fargate-etl-container/76937306fb614fe899f813a15d204002,19.7204
2026-08-16 10:15:11.534,ecs/fargate-etl-container/b294d012b99e46ca9a4ebf5b2a1c2b6c,19.1326
2026-08-16 10:15:10.620,ecs/fargate-etl-container/26cc510999a84cef90fdd4a658f5f142,18.6223
2026-08-16 10:15:10.221,ecs/fargate-etl-container/01e00173d9f1490ebe6a5cd2ee8dd6de,19.2596
2026-08-16 10:15:09.995,ecs/fargate-etl-container/19005a5dc8b84b0d91c6093ad58061d6,19.1405
2026-08-16 10:15:02.481,ecs/fargate-etl-container/4f74f56a34884283a4099d8ab805abeb,19.9222
2026-08-16 10:15:02.064,ecs/fargate-etl-container/62f86143bc27473b80f3fc8bf930e270,19.6841
